name,iata_code,airport,is_company,customer
Goroka,GKA,True,True,False
Madang,MAG,True,True,False
Mount Hagen,HGU,True,True,False
Nadzab,LAE,True,True,False
Port Moresby Jacksons Intl,POM,True,True,False
Wewak Intl,WWK,True,True,False
Narsarsuaq,UAK,True,True,False
Nuuk,GOH,True,True,False
Sondre Stromfjord,SFJ,True,True,False
Thule Air Base,THU,True,True,False
Akureyri,AEY,True,True,False
Egilsstadir,EGS,True,True,False
Hornafjordur,HFN,True,True,False
Husavik,HZK,True,True,False
Isafjordur,IFJ,True,True,False
Keflavik International Airport,KEF,True,True,False
Patreksfjordur,PFJ,True,True,False
Reykjavik,RKV,True,True,False
Siglufjordur,SIJ,True,True,False
Vestmannaeyjar,VEY,True,True,False
Sault Ste Marie,YAM,True,True,False
Winnipeg St Andrews,YAV,True,True,False
Shearwater,YAW,True,True,False
St Anthony,YAY,True,True,False
Tofino,YAZ,True,True,False
Kugaaruk,YBB,True,True,False
Baie Comeau,YBC,True,True,False
Bagotville,YBG,True,True,False
Baker Lake,YBK,True,True,False
Campbell River,YBL,True,True,False
Brandon Muni,YBR,True,True,False
Cambridge Bay,YCB,True,True,False
Nanaimo,YCD,True,True,False
Castlegar,YCG,True,True,False
Miramichi,YCH,True,True,False
Charlo,YCL,True,True,False
Kugluktuk,YCO,True,True,False
Coronation,YCT,True,True,False
Chilliwack,YCW,True,True,False
Clyde River,YCY,True,True,False
Fairmont Hot Springs,YZS,True,True,False
Dawson City,YDA,True,True,False
Burwash,YDB,True,True,False
Princeton,YDC,True,True,False
Deer Lake,YDF,True,True,False
Dease Lake,YDL,True,True,False
Dauphin Barker,YDN,True,True,False
Dawson Creek,YDQ,True,True,False
Edmonton Intl,YEG,True,True,False
Arviat,YEK,True,True,False
Estevan,YEN,True,True,False
Edson,YET,True,True,False
Eureka,YEU,True,True,False
Inuvik Mike Zubko,YEV,True,True,False
Iqaluit,YFB,True,True,False
Fredericton,YFC,True,True,False
Forestville,,True,True,False
Flin Flon,YFO,True,True,False
Fort Resolution,YFR,True,True,False
Fort Simpson,YFS,True,True,False
Kingston,YGK,True,True,False
La Grande Riviere,YGL,True,True,False
Gaspe,YGP,True,True,False
Geraldton Greenstone Regional,YGQ,True,True,False
Iles De La Madeleine,YGR,True,True,False
Hudson Bay,YHB,True,True,False
Dryden Rgnl,YHD,True,True,False
Ulukhaktok Holman,YHI,True,True,False
Gjoa Haven,YHK,True,True,False
Hamilton,YHM,True,True,False
St Hubert,YHU,True,True,False
Hay River,YHY,True,True,False
Halifax Intl,YHZ,True,True,False
Atikokan Muni,YIB,True,True,False
Pond Inlet,YIO,True,True,False
St Jean,YJN,True,True,False
Stephenville,YJT,True,True,False
Kamloops,YKA,True,True,False
Waterloo,YKF,True,True,False
Schefferville,YKL,True,True,False
Kindersley,YKY,True,True,False
Buttonville Muni,YKZ,True,True,False
Chapleau,YLD,True,True,False
Meadow Lake,YLJ,True,True,False
Lloydminster,YLL,True,True,False
Alert,YLT,True,True,False
Kelowna,YLW,True,True,False
Mayo,YMA,True,True,False
Moose Jaw Air Vice Marshal C M Mcewen,YMJ,True,True,False
Fort Mcmurray,YMM,True,True,False
Moosonee,YMO,True,True,False
Maniwaki,YMW,True,True,False
Montreal Intl Mirabel,YMX,True,True,False
Natashquan,YNA,True,True,False
Gatineau,YND,True,True,False
Matagami,YNM,True,True,False
Old Crow,YOC,True,True,False
Cold Lake,YOD,True,True,False
High Level,YOJ,True,True,False
Ottawa Macdonald Cartier Intl,YOW,True,True,False
Prince Albert Glass Field,YPA,True,True,False
Peace River,YPE,True,True,False
Southport,YPG,True,True,False
Pitt Meadows,,True,True,False
Pickle Lake,YPL,True,True,False
Port Menier,YPN,True,True,False
Peterborough,YPQ,True,True,False
Prince Rupert,YPR,True,True,False
Fort Chipewyan,YPY,True,True,False
Muskoka,YQA,True,True,False
Quebec Jean Lesage Intl,YQB,True,True,False
Red Deer Regional,YQF,True,True,False
Windsor,YQG,True,True,False
Watson Lake,YQH,True,True,False
Kenora,YQK,True,True,False
Lethbridge,YQL,True,True,False
Greater Moncton Intl,YQM,True,True,False
Comox,YQQ,True,True,False
Regina Intl,YQR,True,True,False
Thunder Bay,YQT,True,True,False
Grande Prairie,YQU,True,True,False
Yorkton Muni,YQV,True,True,False
North Battleford,YQW,True,True,False
Gander Intl,YQX,True,True,False
Sydney,YQY,True,True,False
Quesnel,YQZ,True,True,False
Resolute Bay,YRB,True,True,False
Riviere Du Loup,YRI,True,True,False
Roberval,YRJ,True,True,False
Rocky Mountain House,YRM,True,True,False
Rankin Inlet,YRT,True,True,False
Sudbury,YSB,True,True,False
Sherbrooke,YSC,True,True,False
Saint John,YSJ,True,True,False
Fort Smith,YSM,True,True,False
Nanisivik,YSR,True,True,False
Summerside,YSU,True,True,False
Sachs Harbour,YSY,True,True,False
Cape Dorset,YTE,True,True,False
Thompson,YTH,True,True,False
Trenton,YTR,True,True,False
Timmins,YTS,True,True,False
City Centre,YTZ,True,True,False
Tuktoyaktuk,YUB,True,True,False
Pierre Elliott Trudeau Intl,YUL,True,True,False
Repulse Bay,YUT,True,True,False
Hall Beach,YUX,True,True,False
Rouyn Noranda,YUY,True,True,False
La Ronge,YVC,True,True,False
Vermilion,YVG,True,True,False
Qikiqtarjuaq,YVM,True,True,False
Val D Or,YVO,True,True,False
Kuujjuaq,YVP,True,True,False
Norman Wells,YVQ,True,True,False
Vancouver Intl,YVR,True,True,False
Buffalo Narrows,YVT,True,True,False
Wiarton,YVV,True,True,False
Petawawa,YWA,True,True,False
Winnipeg Intl,YWG,True,True,False
Wabush,YWK,True,True,False
Williams Lake,YWL,True,True,False
Wrigley,YWY,True,True,False
Canadian Rockies Intl,YXC,True,True,False
Edmonton City Centre,YXD,True,True,False
Saskatoon J G Diefenbaker Intl,YXE,True,True,False
Medicine Hat,YXH,True,True,False
Fort St John,YXJ,True,True,False
Sioux Lookout,YXL,True,True,False
Pangnirtung,YXP,True,True,False
Timiskaming Rgnl,YXR,True,True,False
Prince George,YXS,True,True,False
Terrace,YXT,True,True,False
London,YXU,True,True,False
Abbotsford,YXX,True,True,False
Whitehorse Intl,YXY,True,True,False
North Bay,YYB,True,True,False
Calgary Intl,YYC,True,True,False
Smithers,YYD,True,True,False
Fort Nelson,YYE,True,True,False
Penticton,YYF,True,True,False
Charlottetown,YYG,True,True,False
Taloyoak,YYH,True,True,False
Victoria Intl,YYJ,True,True,False
Lynn Lake,YYL,True,True,False
Swift Current,YYN,True,True,False
Churchill,YYQ,True,True,False
Goose Bay,YYR,True,True,False
St Johns Intl,YYT,True,True,False
Kapuskasing,YYU,True,True,False
Armstrong,YYW,True,True,False
Mont Joli,YYY,True,True,False
Lester B Pearson Intl,YYZ,True,True,False
Downsview,YZD,True,True,False
Gore Bay Manitoulin,YZE,True,True,False
Yellowknife,YZF,True,True,False
Slave Lake,YZH,True,True,False
Sandspit,YZP,True,True,False
Chris Hadfield,YZR,True,True,False
Port Hardy,YZT,True,True,False
Whitecourt,YZU,True,True,False
Sept Iles,YZV,True,True,False
Teslin,YZW,True,True,False
Greenwood,YZX,True,True,False
Faro,ZFA,True,True,False
Fort Mcpherson,ZFM,True,True,False
Blida,,True,True,False
Bou Saada,,True,True,False
Soummam,BJA,True,True,False
Houari Boumediene,ALG,True,True,False
Tiska,DJG,True,True,False
Boufarik,QFD,True,True,False
Reggane,,True,True,False
Illizi Takhamalt,VVZ,True,True,False
Ain Oussera,,True,True,False
Tamanrasset,TMR,True,True,False
Jijel,GJL,True,True,False
Mecheria,,True,True,False
Relizane,,True,True,False
Annaba,AAE,True,True,False
Mohamed Boudiaf Intl,CZL,True,True,False
Cheikh Larbi Tebessi,TEE,True,True,False
Hassi R Mel,HRM,True,True,False
Bou Chekif,TID,True,True,False
Bou Sfer,,True,True,False
Tindouf,TIN,True,True,False
Ech Cheliff,QAS,True,True,False
Tafaraoui,TAF,True,True,False
Zenata,TLM,True,True,False
Es Senia,ORN,True,True,False
Sidi Bel Abbes,,True,True,False
Ghriss,MUW,True,True,False
Touat Cheikh Sidi Mohamed Belkebir,AZR,True,True,False
Biskra,BSK,True,True,False
El Golea,ELG,True,True,False
Noumerat,GHA,True,True,False
Oued Irara,HME,True,True,False
In Salah,INZ,True,True,False
Sidi Mahdi,TGR,True,True,False
Laghouat,LOO,True,True,False
Timimoun,TMX,True,True,False
Ouargla,OGX,True,True,False
In Amenas,IAM,True,True,False
Cadjehoun,COO,True,True,False
Ouagadougou,OUA,True,True,False
Bobo Dioulasso,BOY,True,True,False
Kotoka Intl,ACC,True,True,False
Tamale,TML,True,True,False
Wa,,True,True,False
Sunyani,NYI,True,True,False
Takoradi,TKD,True,True,False
Abidjan Felix Houphouet Boigny Intl,ABJ,True,True,False
Bouake,BYK,True,True,False
Daloa,DJO,True,True,False
Korhogo,HGO,True,True,False
Man,MJC,True,True,False
San Pedro,SPY,True,True,False
Yamoussoukro,ASK,True,True,False
Nnamdi Azikiwe Intl,ABV,True,True,False
Akure,AKR,True,True,False
Benin,BNI,True,True,False
Calabar,CBQ,True,True,False
Enugu,ENU,True,True,False
Gusau,QUS,True,True,False
Ibadan,IBA,True,True,False
Ilorin,ILR,True,True,False
Yakubu Gowon,JOS,True,True,False
Kaduna,KAD,True,True,False
Mallam Aminu Intl,KAN,True,True,False
Maiduguri,MIU,True,True,False
Makurdi,MDI,True,True,False
Murtala Muhammed,LOS,True,True,False
Minna New,MXJ,True,True,False
Port Harcourt Intl,PHC,True,True,False
Sadiq Abubakar Iii Intl,SKO,True,True,False
Yola,YOL,True,True,False
Zaria,ZAR,True,True,False
Maradi,MFQ,True,True,False
Diori Hamani,NIM,True,True,False
Tahoua,THZ,True,True,False
Manu Dayak,AJY,True,True,False
Dirkou,,True,True,False
Diffa,,True,True,False
